# time_stamp[s], p_RS_R_x[m], p_RS_R_y[m], p_RS_R_z[m], q_RS_w[], q_RS_x[], q_RS_y[], q_RS_z[], v_R_x[m/s], v_R_y[m/s], v_R_z[m/s], gyr_S_x[rad/s], gyr_S_y[rad/s], gyr_S_z[rad/s], acc_S_x[m/s^2], acc_S_y[m/s^2], acc_S_z[m/s^2]
0.515000,0.000348,0.000348,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.520000,0.000351,0.000351,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.525000,0.000354,0.000354,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.530000,0.000358,0.000358,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.535000,0.000361,0.000361,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.540000,0.000365,0.000365,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.545000,0.000368,0.000368,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.550000,0.000371,0.000371,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.555000,0.000375,0.000375,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.560000,0.000378,0.000378,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.565000,0.000381,0.000381,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.570000,0.000385,0.000385,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.575000,0.000388,0.000388,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.580000,0.000392,0.000392,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.585000,0.000395,0.000395,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000002,-0.000002,-1.590996
0.590000,0.000398,0.000398,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000003,-0.000003,-1.590996
0.595000,0.000402,0.000402,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000003,-0.000003,-1.590996
0.600000,0.000405,0.000405,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000003,-0.000003,-1.590996
0.605000,0.000408,0.000408,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000003,-0.000003,-1.590996
0.610000,0.000412,0.000412,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000003,-0.000003,-1.590996
0.615000,0.000415,0.000415,15000.000000,1.000000,0.000000,0.000000,0.000000,1182.918934,1182.918934,0.000000,0.000003,0.000000,-0.000000,0.000003,-0.000003,-1.590996
